Env Name,#Steps,Reward,Reward Rate,Succeeds,#Steps,Reward,Reward Rate,Succeeds
bake_lobster_tails-7.textproto,15.00,2.00,0.13,0.00,15.00,2.00,0.13,0.00
buy_stocks_(for_beginners)-6,11.00,4.00,0.36,1.00,15.00,3.00,0.20,0.00
bypass_youtube's_regional_filter-6,10.00,3.00,0.30,1.00,15.00,2.00,0.13,0.00
do_ruby_rose_hair-0.textproto,15.00,0.00,0.00,0.00,15.00,2.00,0.13,0.00
apply_neosporin-0.textproto,7.00,3.00,0.43,1.00,3.00,3.00,1.00,1.00
avoid_losing_a_friend_to_someone_you_hate-0.textproto,15.00,1.00,0.07,0.00,15.00,1.00,0.07,0.00
be_a_hip_grandma-0.textproto,7.00,3.00,0.43,1.00,3.00,3.00,1.00,1.00
build_rafts-0.textproto,7.00,3.00,0.43,1.00,3.00,3.00,1.00,1.00
deal_with_little_sisters-6.textproto,15.00,2.00,0.13,0.00,15.00,2.00,0.13,0.00
fish_for_alligator_gar-7.textproto,7.00,3.00,0.43,1.00,3.00,3.00,1.00,1.00
get_a_loan_without_private_mortgage_insurance_P28pmiP29-8.textproto,15.00,1.00,0.07,0.00,15.00,2.00,0.13,0.00
get_girls-6.textproto,15.00,3.00,0.20,0.00,9.00,5.00,0.56,1.00
introduce_science_to_preschoolers-0.textproto,6.00,3.00,0.50,1.00,3.00,3.00,1.00,1.00
make_a_lei-4.textproto,15.00,3.00,0.20,0.00,15.00,3.00,0.20,0.00
make_kakashi_hair-8.textproto,9.00,2.00,0.22,1.00,2.00,2.00,1.00,1.00
perform_a_bean_seed_dissection_experiment-0.textproto,15.00,2.00,0.13,0.00,3.00,3.00,1.00,1.00
prevent_urinary_tract_infections_from_sex-7.textproto,9.00,3.00,0.33,1.00,15.00,2.00,0.13,0.00
remove_dog_saliva_stains-7.textproto,14.00,3.00,0.21,1.00,3.00,3.00,1.00,1.00
rip_jeggings-4.textproto,5.00,2.00,0.40,1.00,2.00,2.00,1.00,1.00
take_water_marks_off_vehicles-4.textproto,4.00,2.00,0.50,1.00,2.00,2.00,1.00,1.00
transfer_a_vehicle_tag_in_florida-8.textproto,4.00,2.00,0.50,1.00,2.00,2.00,1.00,1.00
